model,gs,data_number,best_train_acc,best_valid_acc,best_train_f1,best_valid_f1
bilstm,200,100000,1.0,1.0,1.0,1.0
bilstm-transformer,200,100000,1.0,0.9987702902115101,1.0,0.9984040855410151
bilstm,50,400000,0.99943413979379,0.9977909851154473,0.9993572688409912,0.9974943324185658
bilstm,50,200000,0.9976056727138779,0.9941677175283733,0.9972804972804974,0.9933932504017617
lstm,200,100000,0.9999076184024143,0.9932365961633055,0.999879995199808,0.9912712267893985
lstm,50,200000,0.9948298317393077,0.9926439680538042,0.9941275794569878,0.9916755856820074
lstm,50,400000,0.9978220961830755,0.9924262346815337,0.9975263618088198,0.9914163090128755
bilstm,25,400000,0.9900580868499456,0.9874156483676819,0.9887847030704173,0.985823721053095
bilstm,100,100000,0.9995112149025145,0.9869946894982118,0.9994426899498422,0.9850783387217109
bilstm-transformer,50,200000,0.9996711088892689,0.9868642286675073,0.9996264921638056,0.9851843072182055
bilstm,150,100000,0.9997756086615057,0.9867861142217246,0.9997365474543898,0.9847150259067357
bilstm-transformer,25,400000,0.9983506203101877,0.9864516297126182,0.9981396922036192,0.9848343443770416
lstm,25,400000,0.9790470105808033,0.9855657747322895,0.976368342107585,0.9837543541258087
transformer,200,100000,1.0,0.9836448598130841,1.0,0.978912319644839
bilstm,100,200000,0.9933441999456669,0.9833957349829073,0.9924118066094713,0.9812339016313013
bilstm-transformer,100,100000,0.9999185358170858,0.982226075647556,0.9999071236184639,0.9797580844235991
lstm,25,200000,0.9704379562043796,0.9803247970018738,0.9667019027484144,0.9777070063694266
lstm-transformer,200,100000,1.0,0.9802016724053123,1.0,0.9747609343157234
bilstm,50,100000,0.9933203597538526,0.9800671422576585,0.9924197206637221,0.9778451492537313
lstm,100,100000,0.9969586705045348,0.980058523897258,0.9965337954939342,0.9775555013417907
lstm-transformer,50,400000,0.9986708864923904,0.9789354652080156,0.9984905096398148,0.9764736981231826
lstm,100,200000,0.993493615865254,0.9786749145368713,0.9925827281314359,0.9757960214325307
lstm-transformer,150,100000,0.9997756086615057,0.9767077267637178,0.9997365301014359,0.9729025534132361
bilstm-transformer,50,400000,0.999888143912726,0.9750433913638037,0.9998729551382173,0.9719115963722815
bilstm,25,200000,0.9750391032325338,0.9744430564230689,0.9718791759056667,0.9712310306439327
lstm,100,400000,0.9895585657803563,0.974420246564927,0.9880988331126546,0.9713416489199879
lstm-transformer,100,100000,0.9991310487155813,0.9713883168960659,0.9990092265774969,0.9678284182305629
lstm,50,100000,0.9830642192184295,0.9702056231640789,0.9807692307692307,0.9665173308182032
lstm,150,100000,0.9988780433075284,0.9697648376259799,0.9986830842167644,0.9655612244897959
lstm-transformer,50,100000,0.9914532162204808,0.9693663449433487,0.9902889413452056,0.9660859465737515
transformer,100,400000,0.994184861618728,0.9681746592081681,0.9933693783017553,0.9638695357296997
bilstm,25,100000,0.9528412495766134,0.967477140482128,0.9467685076380729,0.9638860043844466
bilstm-transformer,150,100000,0.9999439021653764,0.9655095184770437,0.9999341368635974,0.9591620259878016
transformer,100,200000,0.9973512632436837,0.9648922893266048,0.9969790391795381,0.9608282375734093
transformer,150,100000,0.9998597554134411,0.9648376259798432,0.999835347581256,0.9581444948013863
bilstm-transformer,50,100000,0.997002051228107,0.9614981116240033,0.9965957955088389,0.9574712643678162
transformer,50,400000,0.998058967897303,0.9560563824751486,0.9977956286194657,0.950518848566571
bilstm,50,50000,0.9794031105506515,0.9558854275559272,0.9766081871345029,0.951055439573185
bilstm,100,400000,0.9852311789241994,0.9529408570032043,0.9831720721418066,0.9482702008895257
bilstm-transformer,25,200000,0.9897679874869656,0.9526858213616489,0.988460464227439,0.9475385236913488
transformer,100,100000,0.9992125128984957,0.9511217080307792,0.9991025283941448,0.9432204456754375
transformer,50,100000,0.9896649660758429,0.9477549307595468,0.9882641024875325,0.9427717766030798
bilstm-transformer,50,50000,0.9726250525430853,0.9466861802216182,0.9689085158441249,0.9404622927854309
lstm-transformer,100,200000,0.9819206737299647,0.9440555645992729,0.9793978794210975,0.9365733620424483
transformer,50,200000,0.9921592359201715,0.9433585540142917,0.9910951740624533,0.9375
lstm-transformer,25,400000,0.988584727917544,0.9416117349730335,0.9871324745184783,0.9364813922507865
lstm,25,100000,0.9140460123498606,0.9391105569409809,0.9027732751760927,0.9315260574900678
lstm,50,50000,0.9399957965531736,0.9362324900689943,0.9320480780673569,0.9305713635328933
bilstm-transformer,100,200000,0.9856424884542244,0.931358185468555,0.9836451128750252,0.9161974163630341
bilstm-transformer,100,400000,0.9769228678958166,0.9311627654374627,0.9737080408349651,0.9205453690644101
lstm-transformer,100,400000,0.9548987106153449,0.926980937381198,0.9485759432391192,0.9193678970883686
lstm-transformer,50,50000,0.962589323245061,0.9241062094919507,0.9575533563848813,0.9150479756611279
transformer,25,200000,0.9304874869655891,0.9209348323964189,0.9217656637375857,0.9089055472263868
lstm-transformer,25,200000,0.9507429614181439,0.9108890276910264,0.9444354589698725,0.9036903690369037
transformer,25,400000,0.9748029545410096,0.9050050806388578,0.9716119839293715,0.888046346567988
lstm-transformer,50,200000,0.996961046136845,0.8951240016813787,0.9965480655718107,0.8841017303449077
bilstm,50,10000,0.9134966128191766,0.8837209302325582,0.9017751479289942,0.8704318936877077
lstm-transformer,25,100000,0.901826424532972,0.881026600166251,0.8885998107852413,0.8620162333843077
transformer,25,100000,0.8987780412183112,0.8767664172901081,0.8857184880129431,0.8523038605230385
bilstm-transformer,25,100000,0.9192829785570986,0.8539068994181214,0.9089894242068155,0.8398268398268398
lstm,50,10000,0.8402813965607087,0.8533872598584429,0.8199706314243759,0.8394241417497232
bilstm,10,100000,0.8371960239806908,0.8500620860927153,0.8135643593782507,0.8270676691729323
lstm-transformer,50,10000,0.8421052631578947,0.8321536905965622,0.8172237277928335,0.8113636363636363
bilstm-transformer,50,10000,0.8540906722251173,0.8311425682507584,0.8306110102843316,0.8265835929387332
lstm,10,100000,0.8007578313565701,0.8272971854304636,0.7691246588898553,0.7947260191121326
transformer,50,50000,0.937526271542665,0.8197783817687644,0.928985247566147,0.7852882703777336
bilstm-transformer,10,100000,0.7626326853702213,0.7775248344370861,0.7156271376158199,0.7271351078592153
transformer,10,100000,0.7496042147880927,0.7730753311258278,0.6931297709923664,0.743162108072048
transformer,50,10000,0.9616988014590933,0.7583417593528817,0.9568281938325991,0.7333333333333334
lstm-transformer,10,100000,0.7369131348784096,0.7355132450331126,0.6741450244278735,0.7313903111461205
